season,teamId,team,conference,trackedShots,assistedPct,dunks_made,dunks_attempted,dunks_pct,dunks_assistedPct,dunks_assisted,layups_made,layups_attempted,layups_pct,layups_assistedPct,layups_assisted,tipIns_made,tipIns_attempted,tipIns_pct,twoPointJumpers_made,twoPointJumpers_attempted,twoPointJumpers_pct,twoPointJumpers_assistedPct,twoPointJumpers_assisted,threePointJumpers_made,threePointJumpers_attempted,threePointJumpers_pct,threePointJumpers_assistedPct,threePointJumpers_assisted,attemptsBreakdown_threePointJumpers,attemptsBreakdown_twoPointJumpers,attemptsBreakdown_tipIns,attemptsBreakdown_layups,attemptsBreakdown_dunks,athleteId,athleteName
2014,1,Abilene Christian,Southland,155,33.5,0,0,0.0,0.0,0,15,22,68.2,53.3,8,0,0,0.0,16,37,43.2,50.0,8,38,96,39.6,94.7,36,61.9,23.9,0.0,14.2,0.0,56234,Austin Cooke
2014,1,Abilene Christian,Southland,236,26.3,1,1,100.0,100.0,1,23,34,67.6,21.7,5,0,0,0.0,30,58,51.7,10.0,3,60,143,42.0,88.3,53,60.6,24.6,0.0,14.4,0.4,56235,Parker Wentz
2014,1,Abilene Christian,Southland,71,35.2,0,0,0.0,0.0,0,18,29,62.1,77.8,14,0,0,0.0,15,42,35.7,73.3,11,0,0,0.0,0.0,0,0.0,59.2,0.0,40.8,0.0,61880,Riley Payne
2014,1,Abilene Christian,Southland,115,13.0,0,0,0.0,0.0,0,15,31,48.4,26.7,4,0,0,0.0,10,38,26.3,10.0,1,19,46,41.3,52.6,10,40.0,33.0,0.0,27.0,0.0,61881,Harrison Hawkins
2014,1,Abilene Christian,Southland,32,34.4,0,0,0.0,0.0,0,12,17,70.6,83.3,10,0,0,0.0,5,14,35.7,20.0,1,0,1,0.0,0.0,0,3.1,43.8,0.0,53.1,0.0,61882,Alexsander Milosavljevic
2014,1,Abilene Christian,Southland,96,22.9,6,8,75.0,66.7,4,25,44,56.8,32.0,8,0,0,0.0,19,39,48.7,52.6,10,0,5,0.0,0.0,0,5.2,40.6,0.0,45.8,8.3,61884,Michael Grant
2014,1,Abilene Christian,Southland,149,11.4,0,0,0.0,0.0,0,25,44,56.8,24.0,6,0,0,0.0,19,67,28.4,15.8,3,13,38,34.2,61.5,8,25.5,45.0,0.0,29.5,0.0,61885,LaDarrien Williams
2014,1,Abilene Christian,Southland,6,16.7,0,0,0.0,0.0,0,2,2,100.0,50.0,1,0,0,0.0,0,0,0.0,0.0,0,0,4,0.0,0.0,0,66.7,0.0,0.0,33.3,0.0,61887,Chris Blakeley
2014,1,Abilene Christian,Southland,131,39.7,6,7,85.7,83.3,5,42,67,62.7,73.8,31,2,2,100.0,22,54,40.7,68.2,15,1,1,100.0,100.0,1,0.8,41.2,1.5,51.1,5.3,62037,Jacob Lancaster
2014,1,Abilene Christian,Southland,108,21.3,2,2,100.0,50.0,1,34,51,66.7,47.1,16,0,0,0.0,10,49,20.4,50.0,5,1,6,16.7,100.0,1,5.6,45.4,0.0,47.2,1.9,67658,James Pegues
2014,1,Abilene Christian,Southland,92,30.4,0,0,0.0,0.0,0,4,14,28.6,0.0,0,0,0,0.0,5,16,31.3,60.0,3,25,62,40.3,100.0,25,67.4,17.4,0.0,15.2,0.0,67659,Rafael Farley
2014,1,Abilene Christian,Southland,226,13.7,1,1,100.0,0.0,0,26,65,40.0,7.7,2,0,0,0.0,27,65,41.5,3.7,1,37,95,38.9,75.7,28,42.0,28.8,0.0,28.8,0.4,67660,Julian Edmonson
2014,2,Air Force,Mountain West,42,31.0,0,0,0.0,0.0,0,4,7,57.1,75.0,3,0,0,0.0,5,12,41.7,40.0,2,9,23,39.1,88.9,8,54.8,28.6,0.0,16.7,0.0,51511,Hayden Graham
2014,2,Air Force,Mountain West,56,28.6,0,0,0.0,0.0,0,6,10,60.0,16.7,1,0,0,0.0,6,13,46.2,50.0,3,12,33,36.4,100.0,12,58.9,23.2,0.0,17.9,0.0,51512,Zach Kocur
2014,2,Air Force,Mountain West,37,35.1,4,4,100.0,50.0,2,10,14,71.4,60.0,6,0,0,0.0,8,13,61.5,37.5,3,2,6,33.3,100.0,2,16.2,35.1,0.0,37.8,10.8,54978,Darrius Parker
2014,2,Air Force,Mountain West,12,50.0,0,0,0.0,0.0,0,4,6,66.7,100.0,4,0,0,0.0,2,4,50.0,100.0,2,0,2,0.0,0.0,0,16.7,33.3,0.0,50.0,0.0,57092,Zach Moer
2014,2,Air Force,Mountain West,12,16.7,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,2,4,50.0,50.0,1,1,8,12.5,100.0,1,66.7,33.3,0.0,0.0,0.0,57093,Joe Tuss
2014,2,Air Force,Mountain West,15,20.0,0,0,0.0,0.0,0,1,2,50.0,0.0,0,0,0,0.0,2,6,33.3,50.0,1,2,7,28.6,100.0,2,46.7,40.0,0.0,13.3,0.0,57096,Nick Jorgensen
2014,2,Air Force,Mountain West,203,20.2,8,8,100.0,50.0,4,34,65,52.3,38.2,13,2,5,40.0,25,63,39.7,16.0,4,20,62,32.3,100.0,20,30.5,31.0,2.5,32.0,3.9,62084,Kamryn Williams
2014,2,Air Force,Mountain West,236,29.2,0,0,0.0,0.0,0,31,50,62.0,48.4,15,1,1,100.0,24,53,45.3,41.7,10,44,132,33.3,100.0,44,55.9,22.5,0.4,21.2,0.0,62085,Marek Olesinski
2014,2,Air Force,Mountain West,147,33.3,2,3,66.7,50.0,1,50,75,66.7,70.0,35,3,3,100.0,13,46,28.3,46.2,6,7,20,35.0,100.0,7,13.6,31.3,2.0,51.0,2.0,62086,Justin Hammonds
2014,2,Air Force,Mountain West,280,29.3,6,6,100.0,83.3,5,56,85,65.9,57.1,32,0,0,0.0,24,76,31.6,37.5,9,36,113,31.9,100.0,36,40.4,27.1,0.0,30.4,2.1,62087,Max Yon
2014,2,Air Force,Mountain West,83,26.5,0,0,0.0,0.0,0,24,38,63.2,70.8,17,0,1,0.0,3,18,16.7,66.7,2,4,26,15.4,75.0,3,31.3,21.7,1.2,45.8,0.0,62089,DeLovell Earls
2014,2,Air Force,Mountain West,12,16.7,0,0,0.0,0.0,0,1,4,25.0,0.0,0,0,0,0.0,1,3,33.3,100.0,1,1,5,20.0,100.0,1,41.7,25.0,0.0,33.3,0.0,62090,Ethan Michael
