season,seasonLabel,teamId,team,conference,athleteId,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,usage,offensiveRating,defensiveRating,netRating,PORPAG,effectiveFieldGoalPct,trueShootingPct,assistsTurnoverRatio,freeThrowRate,offensiveReboundPct,fieldGoals_pct,fieldGoals_attempted,fieldGoals_made,twoPointFieldGoals_pct,twoPointFieldGoals_attempted,twoPointFieldGoals_made,threePointFieldGoals_pct,threePointFieldGoals_attempted,threePointFieldGoals_made,freeThrows_pct,freeThrows_attempted,freeThrows_made,rebounds_total,rebounds_defensive,rebounds_offensive,winShares_totalPer40,winShares_total,winShares_defensive,winShares_offensive
2022,20212022,1,Abilene Christian,WAC,3746,Yuot Gai,C,32,0,189,88,20,25,3,2,4,26.4,93.3,96.6,-3.3,0.1,50.7,0.545,0.15,31.0,38.6,49.3,71,35,52.4,63,33,25.0,8,2,72.7,22,16,44,27,17,0.085,0.4,0.4,0.0
2022,20212022,1,Abilene Christian,WAC,5094,Ja'Sean Jackson,G,36,0,363,92,20,33,22,20,1,15.5,95.2,95.3,-0.1,0.2,44.4,0.498,1.1,32.1,15.2,38.3,81,31,41.2,51,21,33.3,30,10,76.9,26,20,33,28,5,0.099,0.9,0.8,0.1
2022,20212022,1,Abilene Christian,WAC,7705,Logan McLaughlin,G,15,0,124,49,2,13,7,7,0,16.9,123.4,85.3,38.1,0.8,55.1,0.582,3.5,17.9,5.6,43.6,39,17,61.5,13,8,34.6,26,9,85.7,7,6,18,17,1,0.226,0.7,0.4,0.3
2022,20212022,1,Abilene Christian,WAC,16869,Cameron Steele,F,36,19,805,331,31,65,40,25,19,19.4,117.0,95.1,21.9,2.0,56.6,0.591,1.29,21.5,28.9,48.8,256,125,58.6,145,85,36.0,111,40,74.5,55,41,142,101,41,0.169,3.4,1.7,1.7
2022,20212022,1,Abilene Christian,WAC,16870,Airion Simmons,F,34,34,712,405,67,106,66,51,18,29.8,106.0,85.1,20.9,1.8,54.3,0.566,0.99,34.4,29.4,48.2,311,150,56.0,200,112,34.2,111,38,62.6,107,67,187,132,55,0.202,3.6,2.2,1.4
2022,20212022,1,Abilene Christian,WAC,16873,Immanuel Allen,G,36,2,485,210,30,84,27,20,5,21.4,112.7,96.1,16.6,1.1,53.4,0.592,0.9,48.6,39.4,45.9,146,67,48.9,92,45,40.7,54,22,76.1,71,54,66,40,26,0.165,2.0,1.0,1.0
2022,20212022,1,Abilene Christian,WAC,21203,Damien Daniels,G,36,4,811,217,46,73,115,68,0,18.0,98.8,91.9,6.9,0.7,36.7,0.441,2.5,34.1,27.7,34.1,214,73,39.5,157,62,19.3,57,11,82.2,73,60,83,60,23,0.123,2.5,2.0,0.5
2022,20212022,1,Abilene Christian,WAC,21204,Tobias Cameron,G,36,17,696,241,45,82,63,30,4,18.1,112.5,94.8,17.7,1.4,52.1,0.583,1.4,48.8,37.7,46.5,170,79,55.6,108,60,30.6,62,19,77.1,83,64,130,81,49,0.161,2.8,1.5,1.3
2022,20212022,1,Abilene Christian,WAC,27157,Mahki Morris,G,36,36,890,390,44,98,54,55,1,21.8,112.7,93.8,18.9,2.1,50.3,0.568,1.23,36.5,20.4,43.9,296,130,54.8,168,92,29.7,128,38,85.2,108,92,103,82,21,0.171,3.8,2.0,1.8
2022,20212022,1,Abilene Christian,WAC,27158,Reggie Miller,G,36,36,1045,224,60,85,79,70,6,14.0,96.0,93.4,2.6,0.5,42.5,0.482,1.32,44.8,37.7,37.6,194,73,45.8,118,54,25.0,76,19,67.8,87,59,138,86,52,0.103,2.7,2.4,0.3
