gameId,season,seasonLabel,seasonType,startDate,startTimeTbd,teamId,team,conference,opponentId,opponent,opponentConference,neutralSite,isHome,conferenceGame,gameType,notes,gameMinutes,pace,teamStats_fieldGoals_pct,teamStats_fieldGoals_attempted,teamStats_fieldGoals_made,teamStats_twoPointFieldGoals_pct,teamStats_twoPointFieldGoals_attempted,teamStats_twoPointFieldGoals_made,teamStats_threePointFieldGoals_pct,teamStats_threePointFieldGoals_attempted,teamStats_threePointFieldGoals_made,teamStats_freeThrows_pct,teamStats_freeThrows_attempted,teamStats_freeThrows_made,teamStats_rebounds_total,teamStats_rebounds_defensive,teamStats_rebounds_offensive,teamStats_turnovers_teamTotal,teamStats_turnovers_total,teamStats_fouls_flagrant,teamStats_fouls_technical,teamStats_fouls_total,teamStats_points_fastBreak,teamStats_points_offTurnovers,teamStats_points_inPaint,teamStats_points_byPeriod_0,teamStats_points_byPeriod_1,teamStats_points_largestLead,teamStats_points_total,teamStats_fourFactors_freeThrowRate,teamStats_fourFactors_offensiveReboundPct,teamStats_fourFactors_turnoverRatio,teamStats_fourFactors_effectiveFieldGoalPct,teamStats_assists,teamStats_blocks,teamStats_steals,teamStats_possessions,teamStats_rating,teamStats_trueShooting,teamStats_gameScore,opponentStats_fieldGoals_pct,opponentStats_fieldGoals_attempted,opponentStats_fieldGoals_made,opponentStats_twoPointFieldGoals_pct,opponentStats_twoPointFieldGoals_attempted,opponentStats_twoPointFieldGoals_made,opponentStats_threePointFieldGoals_pct,opponentStats_threePointFieldGoals_attempted,opponentStats_threePointFieldGoals_made,opponentStats_freeThrows_pct,opponentStats_freeThrows_attempted,opponentStats_freeThrows_made,opponentStats_rebounds_total,opponentStats_rebounds_defensive,opponentStats_rebounds_offensive,opponentStats_turnovers_teamTotal,opponentStats_turnovers_total,opponentStats_fouls_flagrant,opponentStats_fouls_technical,opponentStats_fouls_total,opponentStats_points_fastBreak,opponentStats_points_offTurnovers,opponentStats_points_inPaint,opponentStats_points_byPeriod_0,opponentStats_points_byPeriod_1,opponentStats_points_largestLead,opponentStats_points_total,opponentStats_fourFactors_freeThrowRate,opponentStats_fourFactors_offensiveReboundPct,opponentStats_fourFactors_turnoverRatio,opponentStats_fourFactors_effectiveFieldGoalPct,opponentStats_assists,opponentStats_blocks,opponentStats_steals,opponentStats_possessions,opponentStats_rating,opponentStats_trueShooting,opponentStats_gameScore,tournament,teamSeed,opponentSeed,teamStats_points_byPeriod_2,opponentStats_points_byPeriod_2,teamStats_points_byPeriod_3,teamStats_points_byPeriod_4,teamStats_points_byPeriod_5,opponentStats_points_byPeriod_3,opponentStats_points_byPeriod_4,opponentStats_points_byPeriod_5
24790,2021,20202021,regular,2020-11-25 21:00:00+00:00,False,75,East Tennessee State,SoCon,1,Abilene Christian,Southland,True,True,False,TRNMNT,Gulf Coast Showcase,40,70.0,29.4,51,15,40.0,30,12,14.3,21,3,82.4,17,14,38,27,11,1,23,0,1,26,0,14,0,24,23,1.0,47,33.3,28.9,32.9,32.4,5,2,6,70.0,67.1,40.2,9.400000000000006,40.8,49,20,26.9,26,7,56.5,23,13,63.0,27,17,30,24,6,0,15,0,0,21,0,20,0,34,36,26.0,70,55.1,20.0,21.4,54.1,14,3,8,70.0,100.0,57.5,47.6,,,,,,,,,,,
24790,2021,20202021,regular,2020-11-25 21:00:00+00:00,False,1,Abilene Christian,Southland,75,East Tennessee State,SoCon,True,False,False,TRNMNT,Gulf Coast Showcase,40,70.0,40.8,49,20,26.9,26,7,56.5,23,13,63.0,27,17,30,24,6,0,15,0,0,21,0,20,0,34,36,26.0,70,55.1,20.0,21.4,54.1,14,3,8,70.0,100.0,57.5,47.6,29.4,51,15,40.0,30,12,14.3,21,3,82.4,17,14,38,27,11,1,23,0,1,26,0,14,0,24,23,1.0,47,33.3,28.9,32.9,32.4,5,2,6,70.0,67.1,40.2,9.400000000000006,,,,,,,,,,,
24791,2021,20202021,regular,2020-11-25 21:30:00+00:00,False,1059,Florida College,,271,South Florida,American,False,False,False,STD,,40,,47.8,67,32,61.8,34,21,33.3,33,11,90.0,10,9,29,22,7,0,11,0,0,15,0,0,0,46,38,,84,14.9,24.1,,56.0,20,0,4,,,58.8,62.0,52.2,67,35,60.5,43,26,37.5,24,9,75.0,20,15,41,28,13,0,10,0,0,12,0,0,0,42,52,,94,29.9,31.7,,59.0,17,2,6,,,62.0,81.10000000000001,,,,,,,,,,,
24791,2021,20202021,regular,2020-11-25 21:30:00+00:00,False,271,South Florida,American,1059,Florida College,,False,True,False,STD,,40,,52.2,67,35,60.5,43,26,37.5,24,9,75.0,20,15,41,28,13,0,10,0,0,12,0,0,0,42,52,,94,29.9,31.7,,59.0,17,2,6,,,62.0,81.10000000000001,47.8,67,32,61.8,34,21,33.3,33,11,90.0,10,9,29,22,7,0,11,0,0,15,0,0,0,46,38,,84,14.9,24.1,,56.0,20,0,4,,,58.8,62.0,,,,,,,,,,,
24797,2021,20202021,regular,2020-11-25 22:00:00+00:00,False,359,Xavier,Big East,214,Oakland,Horizon,False,True,False,TRNMNT,Xavier Invitational,40,76.0,60.6,71,43,78.9,38,30,39.4,33,13,50.0,4,2,45,39,6,0,10,0,0,11,0,25,0,53,48,54.0,101,5.6,13.3,13.2,69.7,34,9,9,76.0,132.9,69.4,108.3,23.2,69,16,23.7,38,9,22.6,31,7,76.9,13,10,38,23,15,0,16,0,0,7,0,7,0,12,37,1.0,49,18.8,39.5,21.1,28.3,8,0,9,76.0,64.5,32.8,19.1,,,,,,,,,,,
24797,2021,20202021,regular,2020-11-25 22:00:00+00:00,False,214,Oakland,Horizon,359,Xavier,Big East,False,False,False,TRNMNT,Xavier Invitational,40,76.0,23.2,69,16,23.7,38,9,22.6,31,7,76.9,13,10,38,23,15,0,16,0,0,7,0,7,0,12,37,1.0,49,18.8,39.5,21.1,28.3,8,0,9,76.0,64.5,32.8,19.1,60.6,71,43,78.9,38,30,39.4,33,13,50.0,4,2,45,39,6,0,10,0,0,11,0,25,0,53,48,54.0,101,5.6,13.3,13.2,69.7,34,9,9,76.0,132.9,69.4,108.3,,,,,,,,,,,
24792,2021,20202021,regular,2020-11-25 22:00:00+00:00,False,129,James Madison,CAA,908,Limestone,,False,True,False,STD,,40,,48.6,72,35,53.6,56,30,31.3,16,5,66.7,21,14,41,25,16,1,15,0,0,16,0,0,0,48,41,,89,29.2,39.0,,52.1,19,1,21,,,54.8,82.1,38.5,52,20,52.4,21,11,29.0,31,9,66.7,9,6,35,26,9,0,32,0,0,18,0,0,0,29,26,,55,17.3,25.7,,47.1,10,5,5,,,49.1,15.799999999999997,,,,,,,,,,,
24792,2021,20202021,regular,2020-11-25 22:00:00+00:00,False,908,Limestone,,129,James Madison,CAA,False,False,False,STD,,40,,38.5,52,20,52.4,21,11,29.0,31,9,66.7,9,6,35,26,9,0,32,0,0,18,0,0,0,29,26,,55,17.3,25.7,,47.1,10,5,5,,,49.1,15.799999999999997,48.6,72,35,53.6,56,30,31.3,16,5,66.7,21,14,41,25,16,1,15,0,0,16,0,0,0,48,41,,89,29.2,39.0,,52.1,19,1,21,,,54.8,82.1,,,,,,,,,,,
24795,2021,20202021,regular,2020-11-25 22:00:00+00:00,False,340,Virginia Tech,ACC,239,Radford,Big South,False,True,False,STD,,40,66.5,48.3,60,29,52.9,34,18,42.3,26,11,72.7,11,8,30,22,8,0,10,0,0,18,6,16,20,37,40,17.0,77,18.3,26.7,15.2,57.5,18,4,4,66.0,116.7,59.4,59.79999999999998,39.6,53,21,41.7,36,15,35.3,17,6,66.7,21,14,33,23,10,0,15,0,0,11,5,9,18,31,31,5.0,62,39.6,30.3,22.4,45.3,10,1,6,67.0,92.5,49.8,38.70000000000002,,,,,,,,,,,
24796,2021,20202021,regular,2020-11-25 22:00:00+00:00,False,182,Morgan State,MEAC,183,Mount St. Mary's,NEC,False,True,False,STD,,40,67.5,40.4,52,21,52.9,34,18,16.7,18,3,76.9,13,10,32,26,6,0,16,0,0,22,0,11,0,22,33,7.0,55,25.0,18.8,23.5,43.3,12,3,3,68.0,80.9,47.6,26.5,39.6,53,21,54.8,31,17,18.2,22,4,69.6,23,16,38,27,11,0,14,0,0,15,0,19,0,28,34,12.0,62,43.4,28.9,20.9,43.4,10,1,5,67.0,92.5,49.1,39.000000000000014,,,,,,,,,,,
