season,seasonLabel,teamId,team,conference,games,wins,losses,totalMinutes,pace,teamStats_fieldGoals_pct,teamStats_fieldGoals_attempted,teamStats_fieldGoals_made,teamStats_twoPointFieldGoals_pct,teamStats_twoPointFieldGoals_attempted,teamStats_twoPointFieldGoals_made,teamStats_threePointFieldGoals_pct,teamStats_threePointFieldGoals_attempted,teamStats_threePointFieldGoals_made,teamStats_freeThrows_pct,teamStats_freeThrows_attempted,teamStats_freeThrows_made,teamStats_rebounds_total,teamStats_rebounds_defensive,teamStats_rebounds_offensive,teamStats_turnovers_teamTotal,teamStats_turnovers_total,teamStats_fouls_flagrant,teamStats_fouls_technical,teamStats_fouls_total,teamStats_points_fastBreak,teamStats_points_offTurnovers,teamStats_points_inPaint,teamStats_points_total,teamStats_fourFactors_freeThrowRate,teamStats_fourFactors_offensiveReboundPct,teamStats_fourFactors_turnoverRatio,teamStats_fourFactors_effectiveFieldGoalPct,teamStats_assists,teamStats_blocks,teamStats_steals,teamStats_possessions,teamStats_rating,teamStats_trueShooting,opponentStats_fieldGoals_pct,opponentStats_fieldGoals_attempted,opponentStats_fieldGoals_made,opponentStats_twoPointFieldGoals_pct,opponentStats_twoPointFieldGoals_attempted,opponentStats_twoPointFieldGoals_made,opponentStats_threePointFieldGoals_pct,opponentStats_threePointFieldGoals_attempted,opponentStats_threePointFieldGoals_made,opponentStats_freeThrows_pct,opponentStats_freeThrows_attempted,opponentStats_freeThrows_made,opponentStats_rebounds_total,opponentStats_rebounds_defensive,opponentStats_rebounds_offensive,opponentStats_turnovers_teamTotal,opponentStats_turnovers_total,opponentStats_fouls_flagrant,opponentStats_fouls_technical,opponentStats_fouls_total,opponentStats_points_fastBreak,opponentStats_points_offTurnovers,opponentStats_points_inPaint,opponentStats_points_total,opponentStats_fourFactors_freeThrowRate,opponentStats_fourFactors_offensiveReboundPct,opponentStats_fourFactors_turnoverRatio,opponentStats_fourFactors_effectiveFieldGoalPct,opponentStats_assists,opponentStats_blocks,opponentStats_steals,opponentStats_possessions,opponentStats_rating,opponentStats_trueShooting
2024,20232024,1,Abilene Christian,WAC,34,16,18,1405,61.6,43.3,1987,861,46.7,1457,681,34,530,180,72.7,757,550,1139,810,329,15,434,0,6,666,326,483,1196,2452,38.1,28.9,0.2,47.9,431,72,262,2165,113.3,52.8,46.2,1923,888,52.6,1310,689,32.5,613,199,68.5,766,525,1251,909,342,23,495,0,6,644,341,445,1198,2500,39.8,27.3,0.23,51.4,420,113,227,2162,115.6,55.3
2024,20232024,2,Air Force,Mountain West,31,9,22,1270,62,45.3,1604,727,53.6,847,454,36.1,757,273,68.2,475,324,872,647,225,39,372,0,9,542,127,373,842,2051,29.6,25.8,0.19,53.8,451,122,202,1971,104.1,56.6,47.5,1631,774,53.7,1033,555,36.6,598,219,74.7,637,476,1016,719,297,6,348,0,8,497,286,431,1014,2243,39.1,29.2,0.18,54.2,386,96,178,1967,114,58.7
2024,20232024,3,Akron,MAC,35,24,11,1415,63.8,45.3,2018,915,55,1155,635,32.4,863,280,72.7,642,467,1277,914,363,25,394,0,11,583,280,467,1108,2577,31.8,28.4,0.17,52.3,455,100,197,2257,114.2,56,43,1985,853,50.4,1247,629,30.4,738,224,68.8,561,386,1128,822,306,23,400,0,4,598,274,395,1066,2316,28.3,27.1,0.18,48.6,391,87,205,2257,102.6,51.9
2024,20232024,4,Alabama A&M,SWAC,35,12,23,1415,63,42,1918,806,46.9,1402,658,28.7,516,148,72.2,906,654,1245,853,392,30,565,0,5,727,451,521,1126,2414,47.2,31.5,0.25,45.9,369,136,261,2227,108.4,52.1,42.6,2010,856,46.9,1268,595,35.2,742,261,74.9,908,680,1254,841,413,25,488,0,4,701,538,667,1066,2653,45.2,32.9,0.22,49.1,463,114,331,2232,118.9,55.1
2024,20232024,5,Alabama,SEC,37,25,12,1510,72.7,47.6,2385,1136,56.6,1277,723,37.3,1108,413,77.2,842,650,1467,995,472,8,437,0,20,738,507,531,1376,3335,35.3,32.2,0.16,56.3,587,162,256,2746,121.4,60.5,43.7,2351,1028,50.8,1478,751,31.7,873,277,73.8,912,673,1324,878,446,17,418,0,8,739,322,483,1256,3006,38.8,33.7,0.15,49.6,472,163,273,2745,109.5,54.6
2024,20232024,6,Alabama State,SWAC,32,13,19,1330,65.5,37,2087,772,42.4,1294,549,28.1,793,223,72.3,592,428,1260,809,451,14,361,0,4,609,472,488,896,2195,28.4,35.8,0.16,42.3,345,123,277,2188,100.3,46.8,41.2,1751,721,46.4,1025,476,33.7,726,245,72.6,736,534,1258,942,316,31,468,0,5,514,363,387,784,2221,42,25.1,0.22,48.2,385,152,196,2170,102.4,53.5
2024,20232024,7,Alcorn State,SWAC,32,14,18,1295,62.3,44.2,1851,818,48,1359,652,33.7,492,166,71.2,699,498,1086,726,360,21,370,0,12,568,355,430,1008,2300,37.8,33.1,0.18,48.7,371,56,220,2018,114,53.3,46.3,1818,841,53.5,990,530,37.6,828,311,72.7,666,484,1028,712,316,21,378,0,9,573,336,473,914,2477,36.6,30.7,0.19,54.8,500,129,203,2014,123,58.7
2024,20232024,8,American University,Patriot,32,16,16,1310,61.6,44.9,1740,782,53.2,946,503,35.1,794,279,72.2,492,355,1043,756,287,30,347,0,8,527,205,392,908,2200,28.3,27.5,0.17,53,449,54,186,2015,109.2,56.2,45.5,1706,776,51.8,973,504,37.1,733,272,69.3,508,352,979,724,255,18,345,0,6,515,198,371,866,2176,29.8,26,0.17,53.5,403,78,160,2020,107.7,56.4
2024,20232024,9,App State,Sun Belt,34,27,7,1440,66.6,47.5,2100,997,54.2,1426,773,33.2,674,224,68,657,447,1416,1043,373,20,365,0,3,449,390,413,1366,2665,31.3,26.3,0.15,52.8,498,230,209,2397,111.2,55.8,38.9,2225,865,42.8,1493,639,30.9,732,226,69.3,472,327,1236,843,393,11,356,0,3,557,305,387,1030,2283,21.2,31.8,0.15,44,349,84,234,2401,95.1,46.9
2024,20232024,10,Arizona State,Pac-12,32,14,18,1295,67.4,41.6,1901,791,48.6,1185,576,30,716,215,65.5,629,412,1064,795,269,14,335,0,22,534,465,459,990,2209,33.1,25.3,0.15,47.3,385,117,263,2184,101.1,50.7,45,1887,850,52.2,1147,599,33.9,740,251,70.8,589,417,1298,960,338,20,439,0,19,536,374,340,1038,2368,31.2,26,0.2,51.7,490,85,186,2178,108.7,55.2
