id,team,mascot,nickname,abbreviation,display_name,primary_color,secondary_color
1,Abilene Christian,Wildcats,Abilene Chrstn,ACU,Abilene Christian Wildcats,592d82,b1b3b3
2,Air Force,Falcons,Air Force,AFA,Air Force Falcons,004a7b,ffffff
3,Akron,Zips,Akron,AKR,Akron Zips,00285e,84754e
4,Alabama A&M,Bulldogs,Alabama A&M,AAMU,Alabama A&M Bulldogs,790000,ffffff
5,Alabama,Crimson Tide,Alabama,ALA,Alabama Crimson Tide,9e1632,ffffff
6,Alabama State,Hornets,Alabama St,ALST,Alabama State Hornets,e9a900,0a0a0a
7,Alcorn State,Braves,Alcorn St,ALCN,Alcorn State Braves,4b0058,46166a
8,American University,Eagles,American,AMER,American University Eagles,c41130,c8102e
9,App State,Mountaineers,App State,APP,App State Mountaineers,000000,ffcd00
10,Arizona State,Sun Devils,Arizona St,ASU,Arizona State Sun Devils,8e0c3a,ffc72c
11,Arizona,Wildcats,Arizona,ARIZ,Arizona Wildcats,0c234b,ab0520
12,Arkansas,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,a41f35,ffffff
13,Arkansas State,Red Wolves,Arkansas St,ARST,Arkansas State Red Wolves,e81018,000000
14,Arkansas-Pine Bluff,Golden Lions,AR-Pine Bluff,UAPB,Arkansas-Pine Bluff Golden Lions,e0aa0f,eaaa00
15,Army,Black Knights,Army,ARMY,Army Black Knights,ce9c00,231f20
16,Auburn,Tigers,Auburn,AUB,Auburn Tigers,002b5c,f26522
17,Austin Peay,Governors,Austin Peay,APSU,Austin Peay Governors,8e0b0b,
18,BYU,Cougars,BYU,BYU,BYU Cougars,003da5,ffffff
19,Ball State,Cardinals,Ball State,BALL,Ball State Cardinals,DA0000,ffffff
20,Baylor,Bears,Baylor,BAY,Baylor Bears,154734,ffb81c
21,Bellarmine,Knights,Bellarmine,BELL,Bellarmine Knights,000000,
22,Belmont,Bruins,Belmont,BEL,Belmont Bruins,182142,c9262d
23,Bethune-Cookman,Wildcats,Bethune,BCU,Bethune-Cookman Wildcats,7b1831,e9aa12
24,Binghamton,Bearcats,Binghamton,BING,Binghamton Bearcats,00614A,f0f0f0
25,Boise State,Broncos,Boise St,BOIS,Boise State Broncos,0033a0,fa4616
26,Boston College,Eagles,Boston College,BC,Boston College Eagles,8c2232,dbcca6
27,Boston University,Terriers,Boston U,BU,Boston University Terriers,cc0000,ffffff
28,Bowling Green,Falcons,Bowling Green,BGSU,Bowling Green Falcons,2b1000,492000
29,Bradley,Braves,Bradley,BRAD,Bradley Braves,b70002,c0c0c0
30,Brown,Bears,Brown,BRWN,Brown Bears,411e09,949300
31,Bryant,Bulldogs,Bryant,BRY,Bryant Bulldogs,000000,9f8343
32,Bucknell,Bison,Bucknell,BUCK,Bucknell Bison,000060,00316e
33,Buffalo,Bulls,Buffalo,BUF,Buffalo Bulls,041A9B,ebebeb
34,Butler,Bulldogs,Butler,BUT,Butler Bulldogs,0d1361,00a3e0
35,Cal Poly,Mustangs,Cal Poly,CP,Cal Poly Mustangs,1E4D2B,eed897
36,Cal State Bakersfield,Roadrunners,Bakersfield,CSUB,Cal State Bakersfield Roadrunners,003BAB,
37,Cal State Fullerton,Titans,Fullerton,CSUF,Cal State Fullerton Titans,003767,ff8300
38,Cal State Northridge,Matadors,CSU Northridge,CSUN,Cal State Northridge Matadors,b50000,
39,California Baptist,Lancers,CA Baptist,CBU,California Baptist Lancers,000080,
40,California,Golden Bears,California,CAL,California Golden Bears,031522,ffc423
41,Campbell,Fighting Camels,Campbell,CAM,Campbell Fighting Camels,000000,
42,Canisius,Golden Griffins,Canisius,CAN,Canisius Golden Griffins,004a81,dda50f
43,Central Arkansas,Bears,C Arkansas,CARK,Central Arkansas Bears,a7a9ac,8e959a
44,Central Connecticut,Blue Devils,C Connecticut,CCSU,Central Connecticut Blue Devils,1B49A2,d1d5d8
45,Central Michigan,Chippewas,C Michigan,CMU,Central Michigan Chippewas,6a0032,ffc82e
46,Charleston,Cougars,Charleston,COFC,Charleston Cougars,7a2531,9e8959
47,Charleston Southern,Buccaneers,Charleston So,CHSO,Charleston Southern Buccaneers,2e3192,ded090
48,Charlotte,49ers,Charlotte,CLT,Charlotte 49ers,ffffff,cfab7a
