season,teamId,team,conference,trackedShots,assistedPct,dunks_made,dunks_attempted,dunks_pct,dunks_assistedPct,dunks_assisted,layups_made,layups_attempted,layups_pct,layups_assistedPct,layups_assisted,tipIns_made,tipIns_attempted,tipIns_pct,twoPointJumpers_made,twoPointJumpers_attempted,twoPointJumpers_pct,twoPointJumpers_assistedPct,twoPointJumpers_assisted,threePointJumpers_made,threePointJumpers_attempted,threePointJumpers_pct,threePointJumpers_assistedPct,threePointJumpers_assisted,attemptsBreakdown_threePointJumpers,attemptsBreakdown_twoPointJumpers,attemptsBreakdown_tipIns,attemptsBreakdown_layups,attemptsBreakdown_dunks,athleteId,athleteName
2016,1,Abilene Christian,Southland,86,23.3,4,4,100.0,75.0,3,16,27,59.3,62.5,10,1,1,100.0,20,54,37.0,35.0,7,0,0,0.0,0.0,0,0.0,62.8,1.2,31.4,4.7,36150,Hayden Howell
2016,1,Abilene Christian,Southland,188,27.1,3,3,100.0,66.7,2,49,69,71.0,42.9,21,0,0,0.0,29,74,39.2,34.5,10,18,42,42.9,100.0,18,22.3,39.4,0.0,36.7,1.6,42097,Jaren Lewis
2016,1,Abilene Christian,Southland,310,16.8,16,18,88.9,50.0,8,96,149,64.4,31.3,30,0,0,0.0,44,118,37.3,13.6,6,8,25,32.0,100.0,8,8.1,38.1,0.0,48.1,5.8,42099,Jaylen Franklin
2016,1,Abilene Christian,Southland,61,29.5,1,1,100.0,100.0,1,13,19,68.4,53.8,7,0,0,0.0,6,19,31.6,83.3,5,6,22,27.3,83.3,5,36.1,31.1,0.0,31.1,1.6,42100,Hayden Farquhar
2016,1,Abilene Christian,Southland,64,17.2,0,0,0.0,0.0,0,3,9,33.3,100.0,3,0,0,0.0,9,27,33.3,55.6,5,3,28,10.7,100.0,3,43.8,42.2,0.0,14.1,0.0,47386,Drake Green
2016,1,Abilene Christian,Southland,51,27.5,0,0,0.0,0.0,0,10,13,76.9,30.0,3,0,0,0.0,4,14,28.6,50.0,2,9,24,37.5,100.0,9,47.1,27.5,0.0,25.5,0.0,47387,Isaiah Tripp
2016,1,Abilene Christian,Southland,177,17.5,1,1,100.0,0.0,0,18,50,36.0,22.2,4,0,0,0.0,16,39,41.0,6.3,1,32,87,36.8,81.3,26,49.2,22.0,0.0,28.2,0.6,50279,Jovan Crnic
2016,1,Abilene Christian,Southland,162,37.7,15,17,88.2,100.0,15,42,58,72.4,61.9,26,2,2,100.0,38,85,44.7,52.6,20,0,0,0.0,0.0,0,0.0,52.5,1.2,35.8,10.5,56233,Duran Porter
2016,1,Abilene Christian,Southland,133,32.3,0,0,0.0,0.0,0,9,18,50.0,77.8,7,2,2,100.0,7,24,29.2,57.1,4,32,89,36.0,100.0,32,66.9,18.0,1.5,13.5,0.0,56234,Austin Cooke
2016,1,Abilene Christian,Southland,181,37.0,0,0,0.0,0.0,0,9,17,52.9,44.4,4,0,0,0.0,5,24,20.8,80.0,4,63,140,45.0,93.7,59,77.3,13.3,0.0,9.4,0.0,56235,Parker Wentz
2016,1,Abilene Christian,Southland,112,17.0,0,0,0.0,0.0,0,8,24,33.3,25.0,2,1,1,100.0,12,30,40.0,8.3,1,22,57,38.6,72.7,16,50.9,26.8,0.9,21.4,0.0,56236,Jalen Little
2016,2,Air Force,Mountain West,56,19.6,0,0,0.0,0.0,0,15,29,51.7,40.0,6,0,0,0.0,3,12,25.0,33.3,1,5,15,33.3,80.0,4,26.8,21.4,0.0,51.8,0.0,42101,Pervis Louder
2016,2,Air Force,Mountain West,81,33.3,0,0,0.0,0.0,0,23,42,54.8,56.5,13,0,0,0.0,12,20,60.0,58.3,7,7,19,36.8,100.0,7,23.5,24.7,0.0,51.9,0.0,48358,Frank Toohey
2016,2,Air Force,Mountain West,211,17.1,0,0,0.0,0.0,0,41,84,48.8,36.6,15,0,0,0.0,22,69,31.9,9.1,2,20,58,34.5,95.0,19,27.5,32.7,0.0,39.8,0.0,48359,Trevor Lyons
2016,2,Air Force,Mountain West,123,17.1,0,0,0.0,0.0,0,24,33,72.7,16.7,4,1,1,100.0,15,47,31.9,13.3,2,18,42,42.9,83.3,15,34.1,38.2,0.8,26.8,0.0,48360,Jacob Van
2016,2,Air Force,Mountain West,12,25.0,1,1,100.0,100.0,1,2,5,40.0,50.0,1,1,1,100.0,1,1,100.0,0.0,0,1,4,25.0,100.0,1,33.3,8.3,8.3,41.7,8.3,48362,Dane Norman
2016,2,Air Force,Mountain West,33,24.2,1,1,100.0,100.0,1,4,9,44.4,75.0,3,0,0,0.0,3,9,33.3,66.7,2,2,14,14.3,100.0,2,42.4,27.3,0.0,27.3,3.0,48363,Ryan Manning
2016,2,Air Force,Mountain West,137,19.0,3,3,100.0,0.0,0,34,53,64.2,35.3,12,0,0,0.0,14,39,35.9,0.0,0,20,42,47.6,70.0,14,30.7,28.5,0.0,38.7,2.2,48364,CJ Siples
2016,2,Air Force,Mountain West,346,27.2,9,9,100.0,66.7,6,56,102,54.9,51.8,29,2,4,50.0,66,140,47.1,37.9,25,35,91,38.5,97.1,34,26.3,40.5,1.2,29.5,2.6,51511,Hayden Graham
