season,seasonLabel,teamId,team,conference,athleteId,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,usage,offensiveRating,PORPAG,effectiveFieldGoalPct,trueShootingPct,assistsTurnoverRatio,freeThrowRate,offensiveReboundPct,fieldGoals_pct,fieldGoals_attempted,fieldGoals_made,twoPointFieldGoals_pct,twoPointFieldGoals_attempted,twoPointFieldGoals_made,threePointFieldGoals_pct,threePointFieldGoals_attempted,threePointFieldGoals_made,freeThrows_pct,freeThrows_attempted,freeThrows_made,rebounds_total,rebounds_defensive,rebounds_offensive,winShares_totalPer40,winShares_total,winShares_defensive,winShares_offensive,defensiveRating,netRating
2005,20042005,2,Air Force,Mountain West,78906,Chris Swan,G,7,0,28,12,1,1,0,1,0,22.9,128.6,0.6,71.4,0.685,0.0,57.1,75.0,71.4,7,5,71.4,7,5,0.0,0,0,50.0,4,2,4,1,3,,,,,,
2005,20042005,2,Air Force,Mountain West,82490,Keith Maren,F-C,5,0,7,0,1,0,0,0,0,31.0,15.6,-0.5,0.0,0.0,0.0,300.0,25.0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,3,0,4,3,1,,,,,,
2005,20042005,2,Air Force,Mountain West,82491,Tim Anderson,G,22,0,241,28,10,21,10,16,1,11.7,85.2,-0.1,35.7,0.421,1.0,42.9,31.8,28.6,28,8,40.0,10,4,22.2,18,4,66.7,12,8,22,15,7,,,,,,
2005,20042005,2,Air Force,Mountain West,82492,Eric Kenzik,F-C,2,0,3,1,0,0,0,0,0,19.6,,,,0.568,,,33.3,0.0,0,0,0.0,0,0,0.0,0,0,50.0,2,1,3,2,1,,,,,,
2005,20042005,2,Air Force,Mountain West,82494,Adam Hood,G,8,0,87,22,2,7,3,2,0,24.8,86.8,-0.1,22.9,0.365,1.5,58.3,14.3,20.8,24,5,30.8,13,4,9.1,11,1,78.6,14,11,7,6,1,,,,,,
2005,20042005,2,Air Force,Mountain West,82587,Jared Dillinger,G-F,9,0,74,18,4,7,1,2,1,18.0,95.9,0.2,53.8,0.56,0.25,53.8,9.1,46.2,13,6,100.0,4,4,22.2,9,2,57.1,7,4,11,10,1,,,,,,
2005,20042005,2,Air Force,Mountain West,85854,Dan Nwaelele,F,16,1,337,110,20,28,19,12,1,22.6,103.8,1.2,54.0,0.574,0.95,23.0,25.7,44.8,87,39,52.3,44,23,37.2,43,16,80.0,20,16,35,26,9,,,,,,
2005,20042005,2,Air Force,Mountain West,85855,Ryan Teets,F,7,0,34,15,1,3,0,1,0,20.1,149.2,1.0,80.0,0.798,0.0,200.0,25.0,80.0,5,4,80.0,5,4,0.0,0,0,70.0,10,7,4,3,1,,,,,,
2005,20042005,2,Air Force,Mountain West,85856,Jacob Burtschi,F,24,3,652,195,19,55,25,38,4,19.2,114.1,2.2,54.4,0.567,1.32,20.3,31.7,46.8,158,74,66.7,75,50,28.9,83,24,71.9,32,23,104,71,33,,,,,,
2005,20042005,2,Air Force,Mountain West,85857,John Frye,C,7,0,17,1,0,3,1,0,0,7.3,122.9,0.1,0.0,0.266,,200.0,100.0,0.0,1,0,0.0,0,0,0.0,1,0,50.0,2,1,2,0,2,,,,,,
2005,20042005,2,Air Force,Mountain West,85858,Nick Welch,C,24,3,724,290,52,53,72,31,12,26.8,111.2,3.0,56.2,0.596,1.38,37.3,28.4,47.8,209,100,52.0,125,65,41.7,84,35,70.5,78,55,81,58,23,,,,,,
2005,20042005,2,Air Force,Mountain West,85859,Matt McCraw,G,24,2,634,216,25,30,47,29,2,18.8,129.2,3.3,63.7,0.69,1.88,36.3,17.1,49.6,135,67,53.7,54,29,46.9,81,38,89.8,49,44,41,34,7,,,,,,
2005,20042005,2,Air Force,Mountain West,88371,Marc Holum,F,22,0,207,30,5,28,14,5,2,11.8,109.2,0.4,42.9,0.469,2.8,32.1,40.9,35.7,28,10,42.9,14,6,28.6,14,4,66.7,9,6,22,13,9,,,,,,
2005,20042005,2,Air Force,Mountain West,88372,Antoine Hood,G,24,2,801,304,41,56,46,30,2,25.1,109.8,2.9,53.6,0.572,1.12,26.5,36.1,47.5,238,113,52.8,159,84,36.7,79,29,77.8,63,49,72,46,26,,,,,,
2005,20042005,2,Air Force,Mountain West,90408,Caleb Buchanan,C,24,0,283,75,12,40,20,18,11,20.7,102.9,0.6,46.5,0.485,1.67,16.7,34.7,37.5,72,27,41.2,34,14,34.2,38,13,66.7,12,8,49,32,17,,,,,,
2005,20042005,2,Air Force,Mountain West,90409,David Peterson,C,6,0,18,6,0,1,3,0,0,17.1,156.6,0.6,60.0,0.6,,0.0,33.3,60.0,5,3,100.0,3,3,0.0,2,0,0.0,0,0,3,2,1,,,,,,
2005,20042005,2,Air Force,Mountain West,90410,Tim Keller,G,24,3,774,179,22,53,72,33,9,14.8,120.9,2.5,58.7,0.586,3.27,15.4,31.3,44.8,143,64,64.9,37,24,37.7,106,40,50.0,22,11,48,33,15,,,,,,
2005,20042005,3,Akron,MAC,81927,Bubba Walther,G,28,0,541,252,39,32,45,23,1,26.0,105.8,1.4,52.2,0.556,1.15,23.9,13.6,39.0,205,80,42.6,61,26,37.5,144,54,77.6,49,38,44,38,6,,,,,,
2005,20042005,3,Akron,MAC,84007,Quade Milum,F,23,0,109,29,7,19,6,3,2,17.1,96.9,0.1,50.0,0.523,0.86,59.1,33.3,50.0,22,11,50.0,22,11,0.0,0,0,53.8,13,7,21,14,7,,,,,,
2005,20042005,3,Akron,MAC,84008,Jeremiah Wood,F,9,0,235,90,19,21,16,9,2,21.2,100.4,1.1,53.5,0.537,0.84,40.8,25.0,53.5,71,38,53.5,71,38,0.0,0,0,48.3,29,14,68,51,17,,,,,,
2005,20042005,3,Akron,MAC,84010,Cedrick Middleton,G,28,0,384,140,31,38,37,21,2,24.5,93.8,0.3,43.8,0.476,1.19,30.0,26.2,37.7,130,49,39.8,83,33,34.0,47,16,66.7,39,26,42,31,11,,,,,,
2005,20042005,3,Akron,MAC,84012,Nick Goddard,G,12,0,48,30,1,5,3,3,0,29.2,122.4,0.6,53.8,0.558,3.0,7.7,40.0,38.5,26,10,40.0,5,2,38.1,21,8,100.0,2,2,5,3,2,,,,,,
2005,20042005,3,Akron,MAC,86634,Romeo Travis,F,28,0,810,338,62,70,60,35,45,23.5,108.5,2.2,53.7,0.568,0.97,50.0,40.6,52.5,244,128,52.6,232,122,50.0,12,6,62.3,122,76,212,126,86,,,,,,
