season,seasonLabel,teamId,team,conference,athleteId,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,usage,offensiveRating,defensiveRating,netRating,PORPAG,effectiveFieldGoalPct,trueShootingPct,assistsTurnoverRatio,freeThrowRate,offensiveReboundPct,fieldGoals_pct,fieldGoals_attempted,fieldGoals_made,twoPointFieldGoals_pct,twoPointFieldGoals_attempted,twoPointFieldGoals_made,threePointFieldGoals_pct,threePointFieldGoals_attempted,threePointFieldGoals_made,freeThrows_pct,freeThrows_attempted,freeThrows_made,rebounds_total,rebounds_defensive,rebounds_offensive,winShares_totalPer40,winShares_total,winShares_defensive,winShares_offensive
2015,20142015,1,Abilene Christian,Southland,47237,K.J. Maura,G,17,0,195,33,15,15,30,9,0,13.2,96.4,111.5,-15.1,0.2,43.8,0.482,2.0,15.6,29.2,34.4,32,11,35.7,14,5,33.3,18,6,100.0,5,5,24,17,7,0.041,0.2,0.1,0.1
2015,20142015,1,Abilene Christian,Southland,47386,Drake Green,G,28,0,243,63,13,28,13,7,2,22.0,74.8,114.4,-39.6,-0.4,34.2,0.366,1.0,20.3,18.2,31.6,79,25,34.4,61,21,22.2,18,4,56.3,16,9,22,18,4,-0.049,-0.3,0.1,-0.4
2015,20142015,1,Abilene Christian,Southland,47387,Isaiah Tripp,G,29,0,209,66,10,33,11,6,0,18.8,103.0,111.8,-8.8,0.3,49.0,0.524,1.1,48.1,39.4,44.2,52,23,42.9,42,18,50.0,10,5,60.0,25,15,33,20,13,0.057,0.3,0.1,0.2
2015,20142015,1,Abilene Christian,Southland,52198,Christian Albright,F,20,11,269,83,26,37,20,6,9,22.9,84.5,106.1,-21.6,-0.2,42.9,0.454,0.77,20.2,32.3,42.9,84,36,43.9,82,36,0.0,2,0,64.7,17,11,65,44,21,0.015,0.1,0.3,-0.2
2015,20142015,1,Abilene Christian,Southland,56233,Duran Porter,F,31,3,420,124,29,73,10,5,13,19.4,89.7,112.6,-22.9,0.1,50.0,0.51,0.34,38.5,40.8,50.0,104,52,50.0,104,52,0.0,0,0,50.0,40,20,71,42,29,0.01,0.1,0.2,-0.1
2015,20142015,1,Abilene Christian,Southland,56234,Austin Cooke,F,31,31,902,300,39,86,28,17,2,17.6,109.7,111.0,-1.3,1.8,55.6,0.586,0.72,22.3,24.1,44.2,233,103,45.5,110,50,43.1,123,53,78.8,52,41,187,142,45,0.084,1.9,0.6,1.3
2015,20142015,1,Abilene Christian,Southland,56235,Parker Wentz,G,31,31,894,362,45,64,44,48,3,21.0,111.4,110.9,0.5,2.3,53.8,0.597,0.98,35.9,12.7,42.0,262,110,42.1,114,48,41.9,148,62,85.1,94,80,63,55,8,0.103,2.3,0.6,1.7
2015,20142015,1,Abilene Christian,Southland,56236,Jalen Little,G,31,30,803,92,50,63,112,29,0,10.8,88.1,112.9,-24.8,0.0,34.4,0.416,2.24,34.4,9.2,28.1,96,27,25.9,58,15,31.6,38,12,78.8,33,26,65,59,6,0.01,0.2,0.4,-0.2
2015,20142015,1,Abilene Christian,Southland,61880,Riley Payne,F,30,17,438,77,12,65,8,4,1,11.9,92.6,116.7,-24.1,0.1,45.8,0.457,0.67,38.9,48.1,45.8,72,33,45.8,72,33,0.0,0,0,39.3,28,11,54,28,26,0.009,0.1,0.1,0.0
2015,20142015,1,Abilene Christian,Southland,61881,Harrison Hawkins,G,31,18,741,401,72,80,46,25,3,31.3,98.2,114.8,-16.6,1.3,52.6,0.561,0.64,23.5,27.8,43.8,324,142,50.6,168,85,36.5,156,57,78.9,76,60,36,26,10,0.049,0.9,0.2,0.7
2015,20142015,1,Abilene Christian,Southland,61882,Alexsander Milosavljevic,F,21,0,88,14,6,8,1,1,0,15.9,70.5,121.7,-51.2,-0.2,35.0,0.35,0.17,0.0,63.2,35.0,20,7,35.0,20,7,0.0,0,0,0.0,0,0,19,7,12,-0.091,-0.2,0.0,-0.2
2015,20142015,1,Abilene Christian,Southland,61883,David Hanson,G,13,0,35,3,2,4,5,1,1,13.2,66.6,106.7,-40.1,-0.1,25.0,0.218,2.5,33.3,25.0,16.7,6,1,0.0,3,0,33.3,3,1,0.0,2,0,4,3,1,-0.114,-0.1,0.0,-0.1
2015,20142015,1,Abilene Christian,Southland,61884,Michael Grant,G,25,0,216,54,15,34,4,17,1,18.4,83.7,104.0,-20.3,-0.1,34.1,0.448,0.27,84.1,38.2,34.1,44,15,34.9,43,15,0.0,1,0,64.9,37,24,34,21,13,0.019,0.1,0.3,-0.2
2015,20142015,1,Abilene Christian,Southland,61885,LaDarrien Williams,G,31,14,748,304,64,71,62,28,3,26.5,94.2,109.1,-14.9,0.7,45.7,0.501,0.97,22.5,22.2,39.9,276,110,42.6,183,78,34.4,93,32,83.9,62,52,135,105,30,0.043,0.8,0.6,0.2
2015,20142015,2,Air Force,Mountain West,42664,Matt Mooney,G,29,8,558,199,32,31,52,24,4,21.9,108.6,108.9,-0.3,1.4,53.6,0.561,1.63,17.0,23.2,44.8,165,74,50.0,90,45,38.7,75,29,78.6,28,22,56,43,13,0.1,1.4,0.5,0.9
2015,20142015,2,Air Force,Mountain West,48358,Frank Toohey,C,7,0,16,3,0,3,1,0,0,21.4,80.5,87.3,-6.8,-0.1,33.3,0.266,,200.0,28.6,33.3,3,1,33.3,3,1,0.0,0,0,16.7,6,1,7,5,2,0.0,0.0,0.0,0.0
2015,20142015,2,Air Force,Mountain West,48359,Trevor Lyons,G,31,26,864,246,30,57,68,41,0,16.9,114.2,107.8,6.4,2.0,51.9,0.559,2.27,41.4,15.6,45.2,186,84,45.7,129,59,43.9,57,25,68.8,77,53,77,65,12,0.106,2.3,0.8,1.5
2015,20142015,2,Air Force,Mountain West,48360,Jacob Van,G,7,0,20,6,1,0,2,1,0,20.7,110.0,84.5,25.5,0.2,50.0,0.51,2.0,40.0,25.0,40.0,5,2,50.0,2,1,33.3,3,1,50.0,2,1,4,3,1,0.2,0.1,0.1,0.0
2015,20142015,2,Air Force,Mountain West,48363,Ryan Manning,F,27,1,219,39,7,22,10,2,3,14.0,96.0,112.1,-16.1,0.1,40.0,0.431,1.43,30.0,39.4,32.5,40,13,43.8,16,7,25.0,24,6,58.3,12,7,33,20,13,0.037,0.2,0.1,0.1
2015,20142015,2,Air Force,Mountain West,48364,CJ Siples,G,19,1,128,29,9,15,11,5,3,15.6,96.8,105.8,-9.0,0.2,58.3,0.569,1.22,94.4,9.1,55.6,18,10,60.0,15,9,33.3,3,1,47.1,17,8,11,10,1,0.031,0.1,0.1,0.0
2015,20142015,2,Air Force,Mountain West,51511,Hayden Graham,F,30,19,712,233,40,64,38,16,7,21.7,100.9,108.5,-7.6,1.1,49.8,0.521,0.95,22.1,32.3,47.1,204,96,60.7,140,85,17.2,64,11,66.7,45,30,130,88,42,0.067,1.2,0.6,0.6
2015,20142015,2,Air Force,Mountain West,51512,Zach Kocur,G,30,15,688,262,35,68,62,13,2,19.7,121.6,112.0,9.6,2.5,66.2,0.666,1.77,22.3,25.0,50.3,179,90,55.9,59,33,47.5,120,57,62.5,40,25,68,51,17,0.128,2.2,0.4,1.8
