season,seasonLabel,teamId,team,conference,games,wins,losses,totalMinutes,pace,teamStats_fieldGoals_pct,teamStats_fieldGoals_attempted,teamStats_fieldGoals_made,teamStats_twoPointFieldGoals_pct,teamStats_twoPointFieldGoals_attempted,teamStats_twoPointFieldGoals_made,teamStats_threePointFieldGoals_pct,teamStats_threePointFieldGoals_attempted,teamStats_threePointFieldGoals_made,teamStats_freeThrows_pct,teamStats_freeThrows_attempted,teamStats_freeThrows_made,teamStats_rebounds_total,teamStats_rebounds_defensive,teamStats_rebounds_offensive,teamStats_turnovers_teamTotal,teamStats_turnovers_total,teamStats_fouls_flagrant,teamStats_fouls_technical,teamStats_fouls_total,teamStats_points_fastBreak,teamStats_points_offTurnovers,teamStats_points_inPaint,teamStats_points_total,teamStats_fourFactors_freeThrowRate,teamStats_fourFactors_offensiveReboundPct,teamStats_fourFactors_effectiveFieldGoalPct,teamStats_fourFactors_turnoverRatio,teamStats_assists,teamStats_blocks,teamStats_steals,teamStats_possessions,teamStats_trueShooting,teamStats_rating,opponentStats_fieldGoals_pct,opponentStats_fieldGoals_attempted,opponentStats_fieldGoals_made,opponentStats_twoPointFieldGoals_pct,opponentStats_twoPointFieldGoals_attempted,opponentStats_twoPointFieldGoals_made,opponentStats_threePointFieldGoals_pct,opponentStats_threePointFieldGoals_attempted,opponentStats_threePointFieldGoals_made,opponentStats_freeThrows_pct,opponentStats_freeThrows_attempted,opponentStats_freeThrows_made,opponentStats_rebounds_total,opponentStats_rebounds_defensive,opponentStats_rebounds_offensive,opponentStats_turnovers_teamTotal,opponentStats_turnovers_total,opponentStats_fouls_flagrant,opponentStats_fouls_technical,opponentStats_fouls_total,opponentStats_points_fastBreak,opponentStats_points_offTurnovers,opponentStats_points_inPaint,opponentStats_points_total,opponentStats_fourFactors_freeThrowRate,opponentStats_fourFactors_offensiveReboundPct,opponentStats_fourFactors_effectiveFieldGoalPct,opponentStats_fourFactors_turnoverRatio,opponentStats_assists,opponentStats_blocks,opponentStats_steals,opponentStats_possessions,opponentStats_trueShooting,opponentStats_rating
2007,20062007,1,Abilene Christian,Southland,1,0,1,40,0.0,31.1,61,19,35.0,40,14,23.8,21,5,73.3,15,11,33,26,7,0,18,0,0,18,0,0,0,54,24.6,21.2,35.2,,15,2,5,0,39.9,,51.4,70,36,64.5,31,20,41.0,39,16,60.0,5,3,45,35,10,0,14,0,0,17,0,0,0,91,7.1,22.2,62.9,,24,7,8,0,63.0,
2007,20062007,2,Air Force,Mountain West,35,26,9,1400,32.9,49.0,1612,790,57.4,848,487,39.7,764,303,75.7,592,448,937,719,218,9,352,0,1,507,0,0,0,2414,36.7,23.3,58.4,0.31,517,56,225,1150,64.5,209.9,42.4,1652,701,48.5,1048,508,32.0,604,193,67.0,457,306,1006,687,319,18,492,0,1,629,0,0,0,1960,27.7,31.7,48.3,0.43,400,103,158,1156,52.9,169.6
2007,20062007,3,Akron,MAC,33,26,7,1350,24.3,48.6,1658,806,53.0,1105,586,39.8,553,220,66.7,619,413,1030,681,349,2,374,0,1,550,0,0,0,2485,37.3,33.9,55.2,0.46,451,125,243,820,64.4,303.0,40.5,1622,657,43.4,1166,506,33.1,456,151,67.8,541,367,978,607,371,8,461,0,1,560,0,0,0,2014,33.4,37.9,45.2,0.56,332,79,173,820,54.1,245.6
2007,20062007,4,Alabama A&M,SWAC,30,10,20,1215,4.2,38.6,1690,653,44.3,1135,503,27.0,555,150,63.2,633,400,1071,727,344,13,539,0,2,600,0,0,0,1856,37.5,32.1,43.1,4.18,324,236,224,129,47.1,1438.8,39.0,1814,707,42.5,1268,539,30.8,546,168,66.9,703,470,1324,824,500,16,519,0,10,565,0,0,0,2052,38.8,37.8,43.6,4.05,376,118,278,128,48.3,1603.1
2007,20062007,5,Alabama,SEC,32,20,12,1310,23.2,45.6,1849,844,49.4,1286,635,37.1,563,209,70.8,667,472,1242,805,437,2,441,0,2,459,0,0,0,2369,36.1,35.2,51.3,0.58,420,170,181,758,55.3,312.5,41.9,1984,831,48.1,1267,610,30.8,717,221,68.8,494,340,1114,675,439,4,391,0,3,576,0,0,0,2223,24.9,39.4,47.5,0.51,457,134,235,761,50.5,292.1
2007,20062007,6,Alabama State,SWAC,30,10,20,1215,4.3,36.4,1591,579,39.8,1031,410,30.2,560,169,64.1,654,419,998,622,376,7,409,0,7,585,0,0,0,1826,41.1,37.7,41.7,3.15,271,79,179,130,48.6,1404.6,43.5,1564,680,49.2,1121,552,28.9,443,128,66.0,670,442,1096,747,349,14,434,0,4,572,0,0,0,2007,42.8,31.8,47.6,3.36,289,84,182,129,54.0,1555.8
2007,20062007,7,Alcorn State,SWAC,30,11,19,1215,4.5,41.0,1185,486,46.6,826,385,28.1,359,101,67.6,447,302,736,483,253,14,399,0,3,495,0,0,0,2012,37.7,34.4,45.3,2.93,189,62,136,136,72.8,1479.4,45.1,1216,548,48.9,867,424,35.5,349,124,64.3,596,383,790,511,279,7,327,0,2,378,0,0,0,2265,49.0,35.3,50.2,2.37,294,80,190,138,76.6,1641.3
2007,20062007,8,American University,Patriot,30,16,14,1265,5.5,42.8,1584,678,46.8,1082,506,34.3,502,172,72.9,572,417,1037,724,313,6,414,0,1,562,0,0,0,1945,36.1,30.2,48.2,2.35,404,71,173,176,53.0,1105.1,40.3,1561,629,43.6,1045,456,33.5,516,173,73.6,590,434,969,672,297,9,427,0,5,549,0,0,0,1865,37.8,30.7,45.8,2.44,365,98,180,175,51.2,1065.7
2007,20062007,9,App State,SoCon,33,25,8,1365,7.2,47.3,1658,784,53.6,1078,578,35.5,580,206,68.4,560,383,1000,663,337,10,425,0,3,531,0,0,0,2508,33.8,33.7,53.5,1.72,444,113,249,247,65.8,1015.4,44.2,1598,706,48.9,1034,506,35.5,564,200,63.0,546,344,978,638,340,10,480,0,4,522,0,0,0,2239,34.2,34.8,50.4,1.97,385,89,206,244,60.9,917.6
2007,20062007,10,Arizona State,Pac-12,30,8,22,1215,32.8,41.2,1496,617,47.8,898,429,31.4,598,188,65.7,428,281,945,598,347,10,415,0,3,523,0,0,0,1755,28.6,36.7,47.5,0.42,379,56,175,995,52.1,176.4,43.9,1405,617,49.5,877,434,34.7,528,183,69.6,575,400,892,607,285,4,398,0,2,461,0,0,0,1853,40.9,32.0,50.4,0.4,385,78,198,997,55.9,185.9
